meta_industry,requirement,count
Education and Training,Ability to teach graduate and undergraduate courses,1
Technology,4+ years sales experience,3
Technology,Excellent communication and teamwork,1
Technology,Sales of early-stage SaaS,1
Services,Welding background,1
Technology,Python libraries,1
Healthcare and Medical,Supervise financial reporting functions,1
Real Estate and Construction,Google Gmail and suite,1
Services,Valid Driver’s License,2
Transportation and Logistics,"Bachelor's Degree: Business, Supply Chain, Materials Management, Engineering",1
Government and Public Policy,Interviewing,1
Services,experience with JavaScript,1
Retail and Consumer Goods,Bonus programs,2
Services,2-10 years public accounting experience,1
Financial and Investment,Financial literacy,1
Financial and Investment,Manage internal credit process,1
Services,Ability to work with food and cleaning products,1
Retail and Consumer Goods,Minimum 2+ years' experience in computer networks and systems maintenance,1
Technology,3+ years of experience,1
Government and Public Policy,Matching clients,1
Government and Public Policy,Contacting employers,1
Miscellaneous,Real-time energy market operations,1
Services,Problem Solving,2
Services,Good with Excel,1
Technology,Navigating procurement processes,1
Education and Training,Passion for design,1
Miscellaneous,Bachelor's in Engineering,1
Healthcare and Medical,Nursing degree,1
Services,"Communication skills (verbal, written, presentation)",1
Transportation and Logistics,Warehouse experience,3
Services,Pallet jack certification,1
Services,Logistics experience,1
Services,"Technical Certification (FCC License, NABER License)",1
Services,Loan covenant compliance,1
Services,Lifting (50 pounds),1
Education and Training,Master's in education or related field (preferred),1
Services,FDA CRF 21 Part 111,1
Retail and Consumer Goods,Charitable donation matching,1
Healthcare and Medical,Bachelors of Science Nursing (BSN),1
Miscellaneous,Materials Science/Engineering,1
Miscellaneous,Strong analytical and problem-solving skills,1
Services,ServSafe certification,3
Services,"Communicate with building occupants, administrators, and staff",1
Services,CPA,1
Real Estate and Construction,Complicated analyses,1
Retail and Consumer Goods,BA/BS degree,1
Miscellaneous,Scheduling Tools (PC and Mainframe based),1
Services,Flexibility,2
Technology,Security review,1
Education and Training,Google Analytics,1
Services,"Explains, promotes, and sells products and services ",1
Technology,Multiple software systems,1
Real Estate and Construction,Instagram,1
Real Estate and Construction,Drive Trains,1
Real Estate and Construction,Knowledge of casting specifications,1
Healthcare and Medical,Answer emails and voicemails,1
Manufacturing,Sales team management,1
Services,"CPCU, AIC, or PTC",1
Miscellaneous,Endure physical and outdoor work,1
Services,Network configuration,1
Retail and Consumer Goods,Adobe Creative platforms,1
Services,Analyze and translate user requirements,1
Services,Able to push/pull 50 pounds,1
Services,Resident Experience,1
Technology,Sox,1
Education and Training,Valid Driver's license,1
Technology,2 years scaling high-growth sales teams,5
Financial and Investment,"Identifying, Synthesizing and Presenting Data",1
Healthcare and Medical,Degree in Industrial Engineering,1
Services,"Bilingual (English, Spanish)",1
Manufacturing,Brake repairs,1
Transportation and Logistics,Data entry,1
Healthcare and Medical,Bachelor's degree in nursing,1
Transportation and Logistics,SQL,1
Services,"Competency in Microsoft Word, Excel, and Outlook",1
Services,Pass a background investigation,1
Services,COVID-19 Vaccination,1
Miscellaneous,Part evaluation,1
Education and Training,QuickBooks,1
Miscellaneous,Policy recommendations,1
Technology,"Cloud ecosystem knowledge (Salesforce, Microsoft)",1
Technology,Willingness to overlap hours with India teammates,1
Financial and Investment,Automation,1
Services,Follows procedures for removing accounts from dormancy,1
Services,5+ years accounting experience,3
Retail and Consumer Goods,Multitasking,1
Real Estate and Construction,Interpret accounting records,1
Real Estate and Construction,Adhere to company safety policies,1
Manufacturing,Strategic talent pool development,1
Miscellaneous,Outside processor review and evaluation,1
Government and Public Policy,Test instruments,1
Services,"Preparing public disclosures (quarterly financial statements, Supplemental Report, press releases, and SEC filings)",1
Technology,Know Cloud ecosystem (Salesforce/Microsoft),1
Technology,Independent initiative,1
Healthcare and Medical,"See with/without lenses, distinguish colors",1
Services,Collaborative mindset,1
Real Estate and Construction,Workflow optimization,1
Services,Wholesale distribution of building materials,1
Real Estate and Construction,Tablets,1
Transportation and Logistics,Lifting heavy objects,1
Services,Coordinates project completion,1
Services,Bank service management,1
Manufacturing,Mechanical and technical skills,1
Manufacturing,reasoning ability,1
Healthcare and Medical,Short Term Disability,1
Government and Public Policy,Training needs,1
Retail and Consumer Goods,Company matching contributions,2
Technology,Proactive prospect engagement,1
Technology,Software Development Lifecycle (SDLC) understanding,1
Technology,"Experience working with CRO, CFO, and legal",1
Healthcare and Medical,Light physical exertion (up to 20lbs),1
Real Estate and Construction,Air hammer operation,1
Healthcare and Medical,Registered nursing degree,1
Real Estate and Construction,Resilient,1
Services,Cash forecasting,1
Miscellaneous,Intake services,1
Technology,Control,1
Education and Training,Initiative,2
Services,Business operations support,1
Miscellaneous,Communication,2
Services,Acceptable CSA score,1
Financial and Investment,Supervisory experience,1
Services,Regulatory factors,1
Healthcare and Medical,Maintenance of regulatory requirements and healthcare standards,1
Retail and Consumer Goods,Problem-solving,1
Real Estate and Construction,Bachelor's Degree in Engineering,1
Real Estate and Construction,Perform flat (1F) fillet welds,1
Healthcare and Medical,Support CFO and senior leadership with data preparation,1
Education and Training,Openness to teaching variety of courses,1
Education and Training,Microsoft SQL Server,1
Services,Food or dietary supplement processing,1
Miscellaneous,Regional strategy,1
Miscellaneous,Real-time energy markets,1
Healthcare and Medical,5+ years in Operations and Supply Chain Management,1
Services,Drivers license,1
Healthcare and Medical,12+ months customer service experience,1
Healthcare and Medical,Hear audible alarms up to 150 feet,1
Real Estate and Construction,Perform overhead (4G) groove welds,1
Real Estate and Construction,Pass drug screening,1
Miscellaneous,Good communication and interpersonal skills,1
Education and Training,"Experience with Java, Python, and C++",1
Miscellaneous,Technical degree with 5 years experience,1
Services,P&L reporting,1
Technology,Cloud ecosystem knowledge (Salesforce/Microsoft),1
Technology,"Self-motivation, ownership, adaptability, multi-responsibility handling",1
Technology,C-level executives and leaders,1
Financial and Investment,Ability to interface well with all levels of management and with IT and/or Information Security teams,1
Services,Standing,1
Real Estate and Construction,Operate accounting systems,1
Real Estate and Construction,Quality control,1
Real Estate and Construction,College degree or equivalent,1
Services,4+ years experience supporting Land Mobile Radio/similar systems,1
Services,Residence in service area,1
Miscellaneous,Customer specific requirements,1
Services,HNW clients experience,1
Financial and Investment,6 months customer support experience at First Citizens Bank,1
Financial and Investment,"Bachelor's Degree, 1 year Finance/Analytics experience",1
Retail and Consumer Goods,Ability to build strong partnerships,1
Services,2+ years accounting experience,1
Services,COVID-19 Vaccination compliance,1
Services,Bank account management,1
Manufacturing,strong interpersonal skills,1
Manufacturing,Jupyter Notebooks,2
Services,Associate's degree or 64 hours of college credit from an accredited institution,1
Technology,Troubleshooting desktop and server operating systems,1
Services,Invoice review,1
Technology,Communication and teamwork,1
Technology,Mid-market and enterprise companies,1
Technology,SaaS experience,1
Financial and Investment,Business Unit Risk Management,1
Services,Accepts loan payments,1
Retail and Consumer Goods,Remote work,1
Healthcare and Medical,Performs additional assigned duties,1
Transportation and Logistics,Safety ,1
Education and Training,C#,1
Miscellaneous,Contract initiation,1
Services,CPA licensed or in process,1
Technology,Strategic thinker,1
Technology,Sales experience (4+ years),1
Technology,Legal and finance knowledge,1
Technology,ACV $30k-$100k,1
Education and Training,WordPress,1
Financial and Investment,Designing and Delivering Reports,1
Healthcare and Medical,Legal background,1
Services,Analytical and critical thinking skills,1
Healthcare and Medical,Provide technical accounting expertise for complex transactions,1
Healthcare and Medical,launch strategy,1
Government and Public Policy,Scheduling Software,1
Healthcare and Medical,Floor care experience,1
Services,Prepare detailed design/implementation documentation,1
Services,"Manage housekeeping, laundry, and floor care staff",1
